,time,open,high,low,close,tick_volume,spread,real_volume
0,2021-01-04,1.22379,1.23091,1.22291,1.22456,564259,15,84638850000
1,2021-01-05,1.22456,1.2305,1.22437,1.22911,490800,15,73620000000
2,2021-01-06,1.22934,1.23487,1.22647,1.23228,688317,15,103247550000
3,2021-01-07,1.23228,1.2343600000000001,1.22443,1.22694,548643,15,82296450000
4,2021-01-08,1.22694,1.22839,1.21921,1.22173,601301,13,90195150000
5,2021-01-11,1.2217,1.22231,1.21315,1.21496,676345,15,101451750000
6,2021-01-12,1.21496,1.2209,1.21364,1.22056,744755,15,111713250000
7,2021-01-13,1.22056,1.2222,1.2139199999999999,1.21562,678887,15,101833050000
8,2021-01-14,1.21562,1.21778,1.21103,1.2153100000000001,732914,15,109937100000
9,2021-01-15,1.2153100000000001,1.21619,1.20743,1.20802,680328,13,102049200000
10,2021-01-18,1.2083599999999999,1.20861,1.20528,1.20764,563184,15,84477600000
11,2021-01-19,1.20764,1.21442,1.20734,1.21277,671093,15,100663950000
12,2021-01-20,1.21277,1.21574,1.20761,1.21045,664669,15,99700350000
13,2021-01-21,1.21045,1.2172399999999999,1.21018,1.21612,573909,6,86086350000
14,2021-01-22,1.21612,1.21888,1.21509,1.21691,665043,13,99756450000
15,2021-01-25,1.21651,1.21825,1.21152,1.21384,641338,15,96200700000
16,2021-01-26,1.21384,1.21752,1.2107,1.2159200000000001,658129,15,98719350000
17,2021-01-27,1.2159200000000001,1.2169,1.20574,1.21112,791606,15,118740900000
18,2021-01-28,1.21112,1.21416,1.208,1.21197,861616,15,129242400000
19,2021-01-29,1.21197,1.21553,1.20937,1.21369,876935,13,131540250000
20,2021-02-01,1.21298,1.21357,1.20554,1.20588,808411,15,121261650000
21,2021-02-02,1.20588,1.20872,1.20109,1.20425,762142,15,114321300000
22,2021-02-03,1.20425,1.2049400000000001,1.2003300000000001,1.2034799999999999,660269,15,99040350000
23,2021-02-04,1.2034799999999999,1.20421,1.19567,1.19618,698379,15,104756850000
24,2021-02-05,1.19618,1.20492,1.19516,1.20437,671652,13,100747800000
25,2021-02-08,1.20368,1.20652,1.20191,1.20483,588024,15,88203600000
26,2021-02-09,1.20458,1.21211,1.20442,1.21186,672454,15,100868100000
27,2021-02-10,1.21186,1.21432,1.21082,1.21164,662488,15,99373200000
28,2021-02-11,1.21164,1.21487,1.21128,1.21274,539249,15,80887350000
29,2021-02-12,1.21274,1.2134800000000001,1.20808,1.21194,576580,13,86487000000
30,2021-02-15,1.21238,1.21445,1.21161,1.21268,448032,15,67204800000
31,2021-02-16,1.21268,1.21688,1.20944,1.21051,698017,15,104702550000
32,2021-02-17,1.21051,1.21078,1.20225,1.20354,735333,15,110299950000
33,2021-02-18,1.20344,1.20938,1.20344,1.20884,711696,15,106754400000
34,2021-02-19,1.20884,1.21437,1.20816,1.21181,721397,13,108209550000
35,2021-02-22,1.21135,1.21686,1.20905,1.21528,693352,15,104002800000
36,2021-02-23,1.21519,1.21792,1.21345,1.21486,280844,15,42126600000
37,2021-02-24,1.21485,1.21739,1.21082,1.21609,345829,15,51874350000
38,2021-02-25,1.21609,1.22423,1.21552,1.21668,424477,15,63671550000
39,2021-02-26,1.21657,1.21828,1.20612,1.20744,479309,13,71896350000
40,2021-03-01,1.20668,1.21005,1.20269,1.20482,513835,15,77075250000
41,2021-03-02,1.20482,1.20936,1.1991,1.20885,529554,15,79433100000
42,2021-03-03,1.20886,1.21126,1.2042,1.20621,527143,15,79071450000
43,2021-03-04,1.20621,1.20655,1.1961,1.19687,645215,15,96782250000
44,2021-03-05,1.19687,1.19766,1.18923,1.19166,682226,13,102333900000
45,2021-03-08,1.19167,1.19315,1.18434,1.18452,604101,15,90615150000
46,2021-03-09,1.18452,1.19149,1.18349,1.1899,558067,15,83710050000
47,2021-03-10,1.18985,1.1929,1.18681,1.19279,767928,15,115189200000
48,2021-03-11,1.19279,1.19892,1.19149,1.19839,680005,15,102000750000
49,2021-03-12,1.19839,1.19878,1.19091,1.1952099999999999,752751,13,112912650000
50,2021-03-15,1.19473,1.1966700000000001,1.19103,1.19272,666072,15,99910800000
51,2021-03-16,1.19272,1.1951100000000001,1.18817,1.19007,664140,15,99621000000
52,2021-03-17,1.19007,1.19847,1.18855,1.19794,682805,15,102420750000
53,2021-03-18,1.19794,1.19882,1.19055,1.19117,802975,15,120446250000
54,2021-03-19,1.19117,1.1936499999999999,1.1873,1.19016,675704,13,101355600000
55,2021-03-22,1.18784,1.19462,1.18739,1.19331,641115,15,96167250000
56,2021-03-23,1.19331,1.194,1.18414,1.18475,679176,15,101876400000
57,2021-03-24,1.18475,1.1851,1.18091,1.18115,641146,15,96171900000
58,2021-03-25,1.18115,1.18269,1.1761,1.17671,679079,15,101861850000
59,2021-03-26,1.17671,1.18043,1.17667,1.17929,599543,13,89931450000
60,2021-03-29,1.17926,1.17932,1.176,1.17636,621788,15,93268200000
61,2021-03-30,1.17636,1.17749,1.17106,1.17163,415139,15,62270850000
62,2021-03-31,1.17163,1.17592,1.17034,1.17292,639955,15,95993250000
63,2021-04-01,1.17292,1.17793,1.17118,1.17754,628551,15,94282650000
64,2021-04-02,1.17753,1.17858,1.17485,1.1762299999999999,254739,13,38210850000
65,2021-04-05,1.17565,1.1819,1.1737,1.18119,424018,15,63602700000
66,2021-04-06,1.18121,1.18769,1.17945,1.18734,598343,15,89751450000
