,time,open,high,low,close,tick_volume,spread,real_volume
0,2020-01-02,1.1208,1.1214,1.11628,1.11712,486302,15,67538850000
1,2020-01-03,1.11712,1.11792,1.11243,1.11601,598129,13,89719350000
2,2020-01-06,1.11637,1.12049,1.11565,1.11958,554376,15,83156400000
3,2020-01-07,1.11957,1.11969,1.1132900000000001,1.11513,554991,14,83248650000
4,2020-01-08,1.1151200000000001,1.11675,1.11012,1.11046,739679,15,110951850000
5,2020-01-09,1.11046,1.11196,1.10918,1.1105,1079064,15,156440100000
6,2020-01-10,1.11049,1.11284,1.10843,1.11195,1509035,13,220417950000
7,2020-01-13,1.11158,1.11461,1.11118,1.11332,444997,15,66749550000
8,2020-01-14,1.11332,1.11438,1.11035,1.11266,551650,15,82747500000
9,2020-01-15,1.11266,1.11626,1.11178,1.11487,514889,15,77233350000
10,2020-01-16,1.11487,1.11719,1.11273,1.11351,519576,15,77936400000
11,2020-01-17,1.11351,1.11418,1.10855,1.109,517807,13,77671050000
12,2020-01-20,1.10921,1.11016,1.1076,1.1094,376449,15,56467350000
13,2020-01-21,1.1094,1.11172,1.10803,1.10813,533838,15,80075700000
14,2020-01-22,1.10813,1.10977,1.10694,1.10921,543512,15,81526800000
15,2020-01-23,1.10921,1.1108,1.10356,1.10535,572932,15,85939800000
16,2020-01-24,1.10535,1.10611,1.10189,1.10245,590123,13,81993750000
17,2020-01-27,1.10295,1.10368,1.10089,1.10181,575847,15,86377050000
18,2020-01-28,1.10181,1.10245,1.09972,1.10215,1064503,15,159675450000
19,2020-01-29,1.10216,1.1027,1.09916,1.10094,1583931,15,231914550000
20,2020-01-30,1.10093,1.10386,1.10061,1.10308,2509661,15,369835200000
21,2020-01-31,1.10307,1.10951,1.10162,1.10911,2459296,13,361198950000
22,2020-02-03,1.10933,1.10934,1.1035,1.10587,604972,14,90745800000
23,2020-02-04,1.10587,1.10634,1.1032,1.1044100000000001,1168415,15,175262250000
24,2020-02-05,1.10435,1.10471,1.0993,1.09983,1802330,15,263769300000
25,2020-02-06,1.09983,1.10132,1.09637,1.09812,2167029,15,319274850000
26,2020-02-07,1.09814,1.09843,1.09412,1.09442,3017750,13,444660000000
27,2020-02-10,1.0946,1.09568,1.0907,1.09102,539554,15,80933100000
28,2020-02-11,1.09101,1.09242,1.08905,1.09145,539118,15,80867700000
29,2020-02-12,1.09145,1.09249,1.08644,1.08727,551570,15,82735500000
30,2020-02-13,1.08729,1.08881,1.08333,1.08392,642983,15,89479650000
